TIME,D16,D17,D19,D21,D22,D23,D26,R13,R14,R15,R18,R20,R24,R25
10/24/2016 4:00,-1.938066667,0.161088367,-0.637468333,0.149505333,0.704687,0.508223,-0.220239,22.35763333,6.09448,-1.019608667,-0.084580567,11.35354,-5.02587,17.29313333
10/24/2016 5:00,-1.54901,0.710750667,-0.2485672,0.0636066,0.697678667,0.766209,-0.203182,23.6323,5.534116667,1.071030567,0.475009,15.56223333,-3.236506667,18.48803333
10/24/2016 6:00,-1.13707,1.402196667,0.399360667,0.056274733,0.723043,0.701826667,-0.208436667,23.2341,5.012786667,5.046096667,4.143863333,19.60246667,-1.474817,18.24043333
10/24/2016 7:00,-0.727006,2.10997,1.285638333,0.070823367,0.820657667,0.518431667,-0.211837333,21.16003333,4.38179,9.758913333,8.31481,23.05576667,-0.190345333,16.79483333
10/24/2016 8:00,-0.393325,2.329313333,2.21355,0.08017,0.947959667,0.491513333,-0.203005,17.50256667,3.41493,14.51263333,12.15806667,25.58206667,1.311887667,14.67383333
10/24/2016 9:00,-0.22806,2.441723333,3.309196667,0.075106933,1.017795,0.538995333,-0.158096667,14.38833333,2.352226667,18.73016667,15.24106667,26.91623333,2.41521,13.13716667
10/24/2016 10:00,-0.160614,2.238833333,4.061566667,0.103889333,1.112586667,0.475256667,-0.137002667,12.22366667,1.565126667,21.5194,17.02473333,27.011,2.76626,11.92433333
10/24/2016 11:00,-0.194908,2.041886667,4.480376667,0.1115859,1.25443,0.36433,-0.124426333,10.49336333,0.909386333,22.00076667,16.53343333,25.63746667,3.218293333,10.7633
10/24/2016 12:00,-0.185788,2.31943,4.368796667,0.0944035,1.216016667,0.604058333,-0.1078256,8.74294,0.353142667,18.0379,11.68213333,21.6027,0.8747092,9.393546667
10/24/2016 13:00,-0.211399,2.414413333,4.146533333,0.104076333,1.17933,0.600254,-0.0851536,7.444703333,-0.190755803,14.45273333,8.499716667,18.29293333,-0.320514333,8.365186667
10/24/2016 14:00,-0.251787667,2.470643333,3.847886667,0.108764,1.16674,0.583870333,-0.098788567,6.446776667,-0.731749333,11.70843333,6.48196,15.84413333,-0.836069,7.569303333
10/24/2016 15:00,-0.337355333,2.463766667,3.45955,0.105804667,1.16757,0.587559,-0.104674,5.686923333,-1.25855,9.349433333,4.99647,13.92746667,-1.659823333,6.92168
10/24/2016 16:00,-0.429064,2.409386667,2.977496667,0.109078667,1.147593333,0.548409,-0.112816367,4.95034,-1.692953333,7.32848,3.800916667,12.25926667,-2.544506667,6.345843333
10/24/2016 17:00,-0.592344,2.272596667,2.53468,0.104159267,1.11659,0.516455,-0.0847775,4.217103333,-2.111243333,5.490743333,2.796256667,10.80286667,-3.495516667,5.778883333
10/24/2016 18:00,-0.783567333,2.127263333,2.112273333,0.121860333,1.159796667,0.546393667,-0.101378367,3.431293333,-2.508283333,3.794826667,1.868556667,9.505766667,-4.50884,5.15296
10/24/2016 19:00,-0.924453667,2.00779,1.733316667,0.147032,1.133826667,0.622623667,-0.086041767,2.726733333,-2.936716667,2.293883333,1.093319667,8.31481,-5.30006,4.535403333
10/24/2016 20:00,-1.190626667,1.77636,1.142775667,0.142223,1.044713333,0.518475333,-0.113506567,2.096013333,-3.35215,1.010149667,0.421755333,7.286013333,-6.222166667,3.962886667
10/24/2016 21:00,-1.320033333,1.372243333,0.548708,0.158543667,1.06758,0.421078,-0.217462333,1.540806667,-3.729686667,-0.103051667,-0.128171033,6.391856667,-7.105683333,3.386606667
10/24/2016 22:00,-1.51529,1.107531,0.027450567,0.172909667,0.980384667,0.379996667,-0.188287,0.990762333,0.425116667,-0.997751333,-0.623085333,5.567213333,-7.82657,2.86148
10/24/2016 23:00,-1.76165,0.836581,-0.335108333,0.179734,0.915436333,0.345908,-0.175645333,0.565844667,5.33866,-1.754043333,-1.065144333,4.818863333,-8.392896667,2.40707
10/25/2016 0:00,-1.99812,0.544407333,-0.617857,0.193278333,0.855908,0.347542333,-0.188536333,0.188524467,7.602083333,-2.462433333,-1.442363333,4.144916667,-8.62073,1.947743333
10/25/2016 1:00,-2.244503333,-0.149020567,-1.015935333,0.158559667,0.849142333,0.340667333,-0.232108,4.043648,7.76442,-2.911803333,-1.636343333,3.628646667,-8.72398,4.083456667
10/25/2016 2:00,-2.469373333,-0.240618333,-1.159023333,0.155374667,0.843824333,0.211610333,-0.293929667,12.5458,6.436583333,-3.031833333,-1.520966667,3.430986667,-8.434353333,9.6716
10/25/2016 3:00,-2.424276667,-0.247545667,-1.447943333,0.1405837,0.924885333,0.271169667,-0.253582333,18.05983333,5.039076667,-2.963726667,-1.23162,5.882653333,-7.825883333,13.87643333
10/25/2016 4:00,-2.318843333,-0.009605097,-1.295633333,0.064429267,0.856355,0.451202333,-0.214868333,21.37856667,4.271236667,-2.518816667,-0.919879333,10.18186667,-6.845523333,16.59753333
10/25/2016 5:00,-2.041873333,0.10446439,-0.901986333,0.044393233,0.866980333,0.650062667,-0.220295,22.6178,3.696556667,-0.667811333,-0.563829667,14.29823333,-5.28088,17.84186667
10/25/2016 6:00,-1.762196667,0.383034667,-0.229935167,0.003597897,0.912486667,0.348117667,-0.229143333,22.08953333,3.124893333,2.85371,2.600446667,18.09706667,-3.561456667,17.575
